Player;PlayerID;Jahr;Woche;GM;BasisGehalt;Garantien;Basis-Woche;Garantien-Woche;sonstiges;Vertragslaufzeit;Spot;CapRabatt;Vertragsende
Joe Mixon;11803;2021;0;Arneee;18970000;18970000;;;;;Roster;;2024
Joe Mixon;11803;2021;1;Arneee;18970000;18970000;1185625;1185625;;16;Roster;;2024
Joe Mixon;11803;2021;2;Arneee;18970000;18970000;1185625;1185625;;16;Roster;;2024
Joe Mixon;11803;2021;3;Arneee;18970000;18970000;1185625;1185625;;16;Roster;;2024
Joe Mixon;11803;2021;4;Arneee;18970000;18970000;1185625;1185625;;16;Roster;;2024
Joe Mixon;11803;2021;5;Arneee;18970000;18970000;1185625;1185625;;16;Roster;;2024
Joe Mixon;11803;2021;6;Arneee;18970000;18970000;1185625;1185625;;16;Roster;;2024
Joe Mixon;11803;2021;7;Arneee;18970000;18970000;1185625;1185625;;16;Roster;;2024
Joe Mixon;11803;2021;8;Arneee;18970000;18970000;1185625;1185625;;16;Roster;;2024
Joe Mixon;11803;2021;9;Arneee;18970000;18970000;1185625;1185625;;16;Roster;;2024
Joe Mixon;11803;2021;10;Arneee;18970000;18970000;1185625;1185625;;16;Roster;;2024
Joe Mixon;11803;2021;11;Arneee;18970000;18970000;1185625;1185625;;16;Roster;;2024
Joe Mixon;11803;2021;12;Arneee;18970000;18970000;1185625;1185625;;16;Roster;;2024
Joe Mixon;11803;2021;13;Arneee;18970000;18970000;1185625;1185625;;16;Roster;;2024
Joe Mixon;11803;2021;14;Arneee;18970000;18970000;1185625;1185625;;16;Roster;;2024
Joe Mixon;11803;2021;15;Arneee;18970000;18970000;1185625;1185625;;16;Roster;;2024
Joe Mixon;11803;2021;16;Arneee;18970000;18970000;1185625;1185625;;16;Roster;;2024
Joe Mixon;11803;2022;0;Arneee;18970000;23712500;;;;;Roster;;2024
Joe Mixon;11803;2022;1;Arneee;18970000;23712500;1185625;1482031;;16;Roster;;2024
Joe Mixon;11803;2022;2;Arneee;18970000;23712500;1185625;1482031;;16;Roster;;2024
Joe Mixon;11803;2022;3;Arneee;18970000;23712500;1185625;1482031;;16;Roster;;2024
Joe Mixon;11803;2022;4;Arneee;18970000;23712500;1185625;1482031;;16;Roster;;2024
Joe Mixon;11803;2022;5;Arneee;18970000;23712500;1185625;1482031;;16;Roster;;2024
Joe Mixon;11803;2022;6;Arneee;18970000;23712500;1185625;1482031;;16;Roster;;2024
Joe Mixon;11803;2022;7;Arneee;18970000;23712500;1185625;1482031;;16;Roster;;2024
Joe Mixon;11803;2022;8;Arneee;18970000;23712500;1185625;1482031;;16;Roster;;2024
Joe Mixon;11803;2022;9;Arneee;18970000;23712500;1185625;1482031;;16;Roster;;2024
Joe Mixon;11803;2022;10;Arneee;18970000;23712500;1185625;1482031;;16;Roster;;2024
